,Code,Name,Country,Exchange,Currency,Type,Isin
79,0DO7.L,Avenir Telecom S.A.,UK,LSE,EUR,Common Stock,
80,0DOG.L,Azkoyen S.A.,UK,LSE,GBP,Common Stock,
81,0DP0.L,Bank Polska Kasa Opieki S.A.,UK,LSE,GBP,Common Stock,PLPEKAO00016
82,0DP4.L,BasWare Oyj,UK,LSE,EUR,Common Stock,
83,0DPB.L,Bavarian Nordic A/S,UK,LSE,GBP,Common Stock,
84,0DPM.L,Bechtle AG,UK,LSE,GBP,Common Stock,DE0005158703
85,0DPU.L,Proximus S.A.,UK,LSE,GBP,Common Stock,BE0003810273
86,0DQ7.L,Beiersdorf Aktiengesellschaft,UK,LSE,GBP,Common Stock,DE0005200000
87,0DQB.L,Belships ASA,UK,LSE,NOK,Common Stock,
88,0DQK.L,Beter Bed Holding N.V.,UK,LSE,EUR,Common Stock,NL0000339703
89,0DQZ.L,Banca Generali S.p.A.,UK,LSE,GBP,Common Stock,IT0001031084
90,0DRV.L,ArcticZymes Technologies ASA,UK,LSE,NOK,Common Stock,NO0010014632
91,0DSJ.L,NRC Group ASA,UK,LSE,NOK,Common Stock,
92,0DTF.L,Boiron S.A.,UK,LSE,EUR,Common Stock,
93,0DTI.L,Bonheur ASA,UK,LSE,NOK,Common Stock,NO0003110603
94,0DTK.L,Savencia S.A.,UK,LSE,EUR,Common Stock,
95,0DUI.L,Basler AG,UK,LSE,EUR,Common Stock,
96,0DUK.L,Biesse S.p.A.,UK,LSE,GBP,Common Stock,IT0003097257
97,0DVE.L,Borussia Dortmund GmbH & Co. KGaA,UK,LSE,GBP,Common Stock,
98,0DWV.L,cBrain A/S,UK,LSE,DKK,Common Stock,
99,0DXG.L,CropEnergies AG,UK,LSE,EUR,Common Stock,
100,0DXU.L,Cembre S.p.A. Ord,UK,LSE,EUR,Common Stock,
101,0DYQ.L,Cegedim S.A.,UK,LSE,EUR,Common Stock,
102,0DZC.L,CIE Automotive S.A.,UK,LSE,GBP,Common Stock,
103,0E1L.L,CapMan Oyj Series B,UK,LSE,EUR,Common Stock,
104,0E1Y.L,Chargeurs S.A.,UK,LSE,GBP,Common Stock,FR0000130692
105,0E2J.L,Componenta Oyj,UK,LSE,EUR,Common Stock,
106,0E3C.L,Datalogic S.p.A.,UK,LSE,GBP,Common Stock,IT0004053440
107,0E4J.L,Delticom AG,UK,LSE,EUR,Common Stock,
108,0E4K.L,Deutz AG,UK,LSE,GBP,Common Stock,DE0006305006
109,0E4Q.L,NEL ASA,UK,LSE,GBP,Common Stock,NO0010081235
110,0E5M.L,De&#39;Longhi S.p.A.,UK,LSE,GBP,Common Stock,IT0003115950
111,0E6Y.L,1&1 AG,UK,LSE,GBP,Common Stock,DE0005545503
112,0E7S.L,Devoteam S.A.,UK,LSE,GBP,Common Stock,
113,0E7Z.L,Eurotech S.p.A.,UK,LSE,EUR,Common Stock,
114,0E9V.L,Energiekontor AG,UK,LSE,EUR,Common Stock,
115,0EAQ.L,Teekay Tankers Ltd.,UK,LSE,USD,Common Stock,
116,0EAW.L,Kambi Group PLC Series B,UK,LSE,SEK,Common Stock,
117,0EAZ.L,Aspire Global PLC,UK,LSE,SEK,Common Stock,
118,0EBQ.L,Enagas S.A.,UK,LSE,GBP,Common Stock,ES0130960018
119,0EDD.L,LyondellBasell Industries N.V. Cl A,UK,LSE,USD,Common Stock,
120,0EEE.L,CTS Eventim AG & Co. KGaA,UK,LSE,GBP,Common Stock,DE0005470306
121,0EEI.L,EVN AG,UK,LSE,EUR,Common Stock,AT0000741053
122,0EEV.L,Exmar N.V.,UK,LSE,EUR,Common Stock,
123,0EG8.L,Finnair Oyj,UK,LSE,GBP,Common Stock,
124,0EGH.L,Fiera Milano S.p.A.,UK,LSE,GBP,Common Stock,
125,0EHB.L,FNM S.p.A.,UK,LSE,EUR,Common Stock,
126,0EIB.L,Audax Renovables S.A.,UK,LSE,EUR,Common Stock,
127,0EJU.L,GECI International S.A.,UK,LSE,EUR,Common Stock,
128,0EKE.L,LISI Link Solutions for Industry,UK,LSE,GBP,Common Stock,FR0000050353
129,0EKI.L,Gefran S.p.A.,UK,LSE,EUR,Common Stock,
130,0EKR.L,GIMV N.V.,UK,LSE,GBP,Common Stock,
131,0ELH.L,Goodtech ASA,UK,LSE,NOK,Common Stock,
132,0ELV.L,Guerbet S.A.,UK,LSE,EUR,Common Stock,FR0000032526
133,0ENF.L,Broedrene Hartmann A/S,UK,LSE,DKK,Common Stock,
134,0ENJ.L,Hawesko Holding AG,UK,LSE,EUR,Common Stock,
135,0ENN.L,Hornbach-Baumarkt-AG,UK,LSE,EUR,Common Stock,
136,0EOF.L,Hexagon Composites ASA,UK,LSE,NOK,Common Stock,NO0003067902
137,0EPW.L,HOCHTIEF Aktiengesellschaft,UK,LSE,GBP,Common Stock,DE0006070006
138,0ERY.L,Incap Oyj,UK,LSE,EUR,Common Stock,
139,0EUH.L,INDUS Holding AG,UK,LSE,GBP,Common Stock,
140,0EV1.L,Carnival Corp.,UK,LSE,USD,Common Stock,
141,0EVB.L,Airtificial Intelligence Structures S.A.,UK,LSE,EUR,Common Stock,
142,0EVI.L,Innate Pharma S.A.,UK,LSE,GBP,Common Stock,
143,0EWD.L,Interpump Group S.p.A.,UK,LSE,GBP,Common Stock,
144,0EWJ.L,KAP AG,UK,LSE,EUR,Common Stock,
145,0EWO.L,InVision AG,UK,LSE,EUR,Common Stock,
146,0EWR.L,init innovation in traffic systems SE,UK,LSE,EUR,Common Stock,
147,0EX6.L,Jensen-Group N.V.,UK,LSE,EUR,Common Stock,
148,0EXG.L,Jeronimo Martins SGPS S/A,UK,LSE,GBP,Common Stock,PTJMT0AE0001
149,0EXP.L,Jungheinrich AG Pfd.,UK,LSE,GBP,Common Stock,
150,0EYG.L,KBC Group N.V.,UK,LSE,GBP,Common Stock,BE0003565737
151,0EYJ.L,Koebenhavns Lufthavne A/S,UK,LSE,DKK,Common Stock,
152,0F07.L,Kaufman & Broad S.A.,UK,LSE,GBP,Common Stock,FR0004007813
153,0F08.L,Kongsberg Gruppen ASA,UK,LSE,GBP,Common Stock,NO0003043309
154,0F0J.L,Kitron ASA,UK,LSE,NOK,Common Stock,NO0003079709
155,0F1N.L,KWS Saat SE,UK,LSE,GBP,Common Stock,
156,0F1U.L,Lacroix Group S.A.,UK,LSE,EUR,Common Stock,
157,0F29.L,Lassila & Tikanoja Oyj,UK,LSE,EUR,Common Stock,
158,0F2N.L,Groupe LDLC,UK,LSE,EUR,Common Stock,
159,0F2S.L,LINEDATA Services S.A.,UK,LSE,EUR,Common Stock,
160,0F2Z.L,Leifheit AG,UK,LSE,EUR,Common Stock,
161,0F3G.L,Lingotes Especiales S.A.,UK,LSE,EUR,Common Stock,
162,0F4I.L,Klépierre SA,UK,LSE,GBP,Common Stock,FR0000121964
163,0F4O.L,Lotus Bakeries N.V.,UK,LSE,EUR,Common Stock,
164,0F6I.L,Manutan International S.A.,UK,LSE,EUR,Common Stock,
165,0F6L.L,Etablissements Maurel et Prom S.A.,UK,LSE,EUR,Common Stock,FR0000051070
166,0F7F.L,Duro Felguera S.A.,UK,LSE,EUR,Common Stock,
167,0F89.L,Neles Oyj,UK,LSE,EUR,Common Stock,FI4000440664
168,0F8T.L,Hexaom,UK,LSE,EUR,Common Stock,
169,0F8V.L,AKWEL S.A.,UK,LSE,EUR,Common Stock,FR0000053027
170,0FA0.L,Melexis N.V.,UK,LSE,GBP,Common Stock,
171,0FB0.L,Mota-Engil SGPS S/A,UK,LSE,GBP,Common Stock,PTMEN0AE0005
172,0FBM.L,Micro Systemation AB Series B,UK,LSE,SEK,Common Stock,
173,0FBS.L,Orange Belgium S.A.,UK,LSE,GBP,Common Stock,
174,0FC9.L,MTU Aero Engines AG,UK,LSE,GBP,Common Stock,DE000A0D9PT0
175,0FDT.L,Nemetschek SE,UK,LSE,GBP,Common Stock,
176,0FF9.L,Nordic Semiconductor ASA,UK,LSE,GBP,Common Stock,
177,0FFY.L,Nokian Renkaat Oyj,UK,LSE,GBP,Common Stock,FI0009005318
178,0FGH.L,Norwegian Air Shuttle ASA,UK,LSE,GBP,Common Stock,NO0010196140
179,0FGL.L,Nexus AG,UK,LSE,EUR,Common Stock,
180,0FH7.L,OHB SE,UK,LSE,EUR,Common Stock,
181,0FHO.L,Piraeus Port Authority S.A.,UK,LSE,GBP,Common Stock,
182,0FHP.L,Olav Thon Eiendomsselskap ASA,UK,LSE,NOK,Common Stock,NO0005638858
183,0FHS.L,Olvi Oyj Series A,UK,LSE,EUR,Common Stock,
184,0FI1.L,Greek Organisation of Football Prognostics S.A.,UK,LSE,GBP,Common Stock,GRS419003009
185,0FI5.L,Otello Corp. ASA,UK,LSE,NOK,Common Stock,NO0010040611
186,0FIN.L,Orkla ASA,UK,LSE,GBP,Common Stock,NO0003733800
187,0FJ8.L,Outokumpu Oyj,UK,LSE,GBP,Common Stock,
188,0FJC.L,PATRIZIA AG,UK,LSE,GBP,Common Stock,
189,0FM1.L,Piaggio & C. S.p.A.,UK,LSE,GBP,Common Stock,IT0003073266
190,0FMN.L,Polski Koncern Naftowy ORLEN S.A.,UK,LSE,GBP,Common Stock,PLPKN0000018
191,0FMO.L,Powszechna Kasa Oszczednosci Bank Polski S.A.,UK,LSE,GBP,Common Stock,PLPKO0000016
192,0FNZ.L,Ponsse Oyj,UK,LSE,EUR,Common Stock,
193,0FPB.L,Rothschild & Co.,UK,LSE,GBP,Common Stock,
194,0FQ8.L,Pharol SGPS S/A,UK,LSE,EUR,Common Stock,PTPTC0AM0009
195,0FQI.L,Publicis Groupe S.A.,UK,LSE,GBP,Common Stock,FR0000130577
196,0FQN.L,IEP Invest N.V.,UK,LSE,EUR,Common Stock,
197,0FQR.L,Pfeiffer Vacuum Technology AG,UK,LSE,GBP,Common Stock,DE0006916604
198,0FQS.L,Pescanova S.A.,UK,LSE,EUR,Common Stock,
199,0FRI.L,Lumibird S.A.,UK,LSE,EUR,Common Stock,
200,0FRJ.L,Rational AG,UK,LSE,GBP,Common Stock,DE0007010803
201,0FRW.L,Rosenbauer International AG,UK,LSE,EUR,Common Stock,
202,0FS8.L,REC Silicon ASA,UK,LSE,NOK,Common Stock,NO0010112675
203,0FSO.L,Retail Estates N.V.,UK,LSE,GBP,Common Stock,
204,0FT3.L,Riber S.A.,UK,LSE,EUR,Common Stock,
205,0FWY.L,SalMar ASA,UK,LSE,GBP,Common Stock,
206,0G0X.L,First Sensor AG,UK,LSE,EUR,Common Stock,
207,0G15.L,Koenig & Bauer AG,UK,LSE,GBP,Common Stock,
208,0G1T.L,Wavestone S.A.,UK,LSE,EUR,Common Stock,
209,0G29.L,Semperit AG Holding,UK,LSE,EUR,Common Stock,AT0000785555
210,0G2C.L,Societe Marseillaise du Tunnel Prado Carenage S.A.,UK,LSE,EUR,Common Stock,
211,0G2X.L,Sofina S.A.,UK,LSE,GBP,Common Stock,
212,0G2Z.L,Solstad Offshore ASA,UK,LSE,NOK,Common Stock,
213,0G3L.L,Copperstone Resources AB Series B,UK,LSE,SEK,Common Stock,
214,0G3T.L,Fortnox AB,UK,LSE,SEK,Common Stock,
215,0G3V.L,Jutlander Bank A/S,UK,LSE,DKK,Common Stock,
216,0G40.L,Sparebanken More,UK,LSE,NOK,Common Stock,
217,0G45.L,Sparebanken Ost ASA,UK,LSE,NOK,Common Stock,
218,0G5B.L,Sto SE & Co. KGaA,UK,LSE,EUR,Common Stock,
219,0G5H.L,Solteq Oyj,UK,LSE,EUR,Common Stock,
220,0G67.L,Sparebanken Vest,UK,LSE,NOK,Common Stock,NO0006000900
221,0G68.L,Kendrion N.V.,UK,LSE,EUR,Common Stock,NL0000852531
222,0G6O.L,SW Umwelttechnik Stoiser & Wolschner AG,UK,LSE,GBP,Common Stock,
223,0G6T.L,Symrise AG,UK,LSE,GBP,Common Stock,DE000SYM9999
224,0G73.L,Softing AG,UK,LSE,EUR,Common Stock,
225,0G77.L,Salzgitter AG,UK,LSE,GBP,Common Stock,DE0006202005
226,0G7B.L,Südzucker AG,UK,LSE,GBP,Common Stock,DE0007297004
227,0G8C.L,Telenor ASA,UK,LSE,GBP,Common Stock,NO0010063308
228,0G8X.L,Immunovia AB,UK,LSE,SEK,Common Stock,
229,0G8Z.L,HolidayCheck Group AG,UK,LSE,EUR,Common Stock,
230,0G9J.L,Tamburi Investment Partners S.p.A.,UK,LSE,GBP,Common Stock,
231,0G9K.L,Tipiak S.A.,UK,LSE,EUR,Common Stock,
232,0G9R.L,PowerCell Sweden AB,UK,LSE,SEK,Common Stock,
233,0G9W.L,Mediaset España Comunicación S.A,UK,LSE,GBP,Common Stock,ES0152503035
234,0GA3.L,Telecom Italia S.p.A. RNC,UK,LSE,GBP,Common Stock,
235,0GAF.L,Telenet Group Holding N.V.,UK,LSE,GBP,Common Stock,BE0003826436
236,0GB5.L,Niloerngruppen AB Series B,UK,LSE,SEK,Common Stock,
237,0GB7.L,Orange Polska S.A.,UK,LSE,GBP,Common Stock,PLTLKPL00017
238,0GBU.L,StoryTel AB,UK,LSE,SEK,Common Stock,
239,0GC8.L,Takkt AG,UK,LSE,GBP,Common Stock,
240,0GCN.L,Turbon AG,UK,LSE,EUR,Common Stock,
241,0GD5.L,UBM Development AG,UK,LSE,EUR,Common Stock,
242,0GDH.L,LeoVegas AB,UK,LSE,GBP,Common Stock,
243,0GDR.L,UNIQA Insurance Group AG,UK,LSE,GBP,Common Stock,
244,0GDU.L,Paradox Interactive AB,UK,LSE,SEK,Common Stock,
245,0GE4.L,United Internet AG,UK,LSE,GBP,Common Stock,DE0005089031
246,0GEA.L,Maha Energy AB A,UK,LSE,SEK,Common Stock,
247,0GEG.L,Vaisala Oyj Series A,UK,LSE,EUR,Common Stock,
248,0GEJ.L,Valsoia S.p.A.,UK,LSE,EUR,Common Stock,
249,0GF6.L,Veidekke ASA,UK,LSE,GBP,Common Stock,NO0005806802
250,0GFE.L,Embracer Group AB Series B,UK,LSE,SEK,Common Stock,
251,0GFN.L,AAC Clyde Space AB,UK,LSE,SEK,Common Stock,
252,0GGK.L,Vestjysk Bank A/S,UK,LSE,DKK,Common Stock,
253,0GHX.L,Climeon AB Series B,UK,LSE,SEK,Common Stock,
254,0GHZ.L,XSpray Pharma AB,UK,LSE,SEK,Common Stock,
255,0GJ1.L,MAG Interactive AB,UK,LSE,SEK,Common Stock,
256,0GJA.L,Wolford AG,UK,LSE,GBP,Common Stock,
257,0GJK.L,Washtec AG,UK,LSE,GBP,Common Stock,
258,0GJN.L,Wuestenrot & Wuerttembergische AG,UK,LSE,GBP,Common Stock,
259,0GJS.L,Xilam Animation,UK,LSE,EUR,Common Stock,
260,0GKA.L,YIT Oyj,UK,LSE,GBP,Common Stock,
261,0GLY.L,SAMSE S.A.,UK,LSE,EUR,Common Stock,
262,0GM2.L,Leroy Seafood Group ASA,UK,LSE,GBP,Common Stock,
263,0GM9.L,ESI Group S.A.,UK,LSE,EUR,Common Stock,
264,0GMG.L,Addnode Group AB Series B,UK,LSE,SEK,Common Stock,
265,0GN6.L,Argan S.A.,UK,LSE,EUR,Common Stock,
266,0GNK.L,Knowit AB,UK,LSE,SEK,Common Stock,
267,0GNV.L,Heba Fastighets AB Series B,UK,LSE,SEK,Common Stock,
268,0GO4.L,Swedish Match AB (publ),UK,LSE,SEK,Common Stock,SE0015812219
269,0GOX.L,POLYTEC Holding AG,UK,LSE,EUR,Common Stock,
270,0GP7.L,Medivir AB Series B,UK,LSE,SEK,Common Stock,
271,0GQE.L,Clas Ohlson AB ser. B,UK,LSE,GBP,Common Stock,SE0000584948
272,0GQU.L,Active Biotech AB,UK,LSE,SEK,Common Stock,
273,0GRG.L,Kungsleden AB,UK,LSE,GBP,Common Stock,SE0000549412
274,0GRP.L,Biotage AB,UK,LSE,GBP,Common Stock,
275,0GRX.L,Hexagon AB (publ),UK,LSE,SEK,Common Stock,SE0015961909
276,0GRZ.L,RaySearch Laboratories AB Series B,UK,LSE,GBP,Common Stock,SE0000135485
277,0GSE.L,Midsona AB Series B,UK,LSE,SEK,Common Stock,
278,0GSS.L,NOTE AB,UK,LSE,SEK,Common Stock,
279,0GT1.L,Castellum AB,UK,LSE,GBP,Common Stock,SE0000379190
280,0GT7.L,Metabolic Explorer S.A.,UK,LSE,EUR,Common Stock,
281,0GTM.L,Dios Fastigheter AB,UK,LSE,GBP,Common Stock,SE0001634262
282,0GTN.L,BioGaia AB Series B,UK,LSE,GBP,Common Stock,
283,0GTR.L,Husqvarna AB Series B,UK,LSE,GBP,Common Stock,SE0001662230
284,0GU8.L,Softronic AB Series B,UK,LSE,SEK,Common Stock,
285,0GUX.L,Skandinaviska Enskilda Banken AB Series C,UK,LSE,SEK,Common Stock,
286,0GVS.L,Catena AB,UK,LSE,SEK,Common Stock,
287,0GW0.L,Nobia AB,UK,LSE,GBP,Common Stock,
288,0GW3.L,Hufvudstaden AB Series A,UK,LSE,GBP,Common Stock,SE0000170375
289,0GW8.L,Grieg Seafood ASA,UK,LSE,GBP,Common Stock,NO0010365521
290,0GWB.L,L.E. Lundbergfoeretagen AB Series B,UK,LSE,GBP,Common Stock,SE0000108847
291,0GWI.L,Husqvarna AB Series A,UK,LSE,SEK,Common Stock,
292,0GWJ.L,Clinica Baviera S.A.,UK,LSE,EUR,Common Stock,
293,0GWL.L,Saab AB Series B,UK,LSE,GBP,Common Stock,SE0000112385
294,0GWP.L,Ratos AB Series A,UK,LSE,SEK,Common Stock,
295,0GWS.L,BillerudKorsnaes AB,UK,LSE,GBP,Common Stock,SE0000862997
296,0GX2.L,Neurones,UK,LSE,EUR,Common Stock,
297,0GXD.L,Svedbergs I Dalstorp AB Series B,UK,LSE,SEK,Common Stock,
298,0GXJ.L,Modern Times Group MTG AB,UK,LSE,GBP,Common Stock,SE0000412371
299,0GXK.L,VBG Group AB Series B,UK,LSE,SEK,Common Stock,
300,0GY8.L,Aeffe S.p.A.,UK,LSE,EUR,Common Stock,
301,0GYM.L,Ackermans & Van Haaren N.V.,UK,LSE,GBP,Common Stock,BE0003764785
302,0GYQ.L,Varta AG,UK,LSE,EUR,Common Stock,
303,0GYZ.L,Nordic Mining ASA,UK,LSE,NOK,Common Stock,
304,0GZB.L,Probi AB,UK,LSE,SEK,Common Stock,
305,0GZK.L,Ion Beam Applications S.A.,UK,LSE,GBP,Common Stock,
306,0GZV.L,Getinge AB Series B,UK,LSE,GBP,Common Stock,SE0000202624
307,0GZX.L,DiaSorin S.p.A.,UK,LSE,GBP,Common Stock,IT0003492391
308,0H00.L,Banco de Sabadell S.A,UK,LSE,GBP,Common Stock,ES0113860A34
309,0H0U.L,Sensys Gatso Group AB,UK,LSE,SEK,Common Stock,
310,0H13.L,Industrivarden AB Series A,UK,LSE,GBP,Common Stock,SE0000190126
311,0H14.L,Net Insight AB Series B,UK,LSE,SEK,Common Stock,
312,0H2J.L,Prevas AB Series B,UK,LSE,SEK,Common Stock,
313,0H2Z.L,Fastighets AB Balder Series B,UK,LSE,GBP,Common Stock,
314,0H30.L,Indutrade AB,UK,LSE,GBP,Common Stock,
315,0H3Q.L,Deutsche Post AG,UK,LSE,GBP,Common Stock,DE0005552004
316,0H3T.L,Deutsche Boerse AG,UK,LSE,GBP,Common Stock,DE0005810055
317,0H4A.L,Deutsche Lufthansa AG,UK,LSE,GBP,Common Stock,DE0008232125
318,0H4K.L,Acciona S.A.,UK,LSE,GBP,Common Stock,ES0125220311
319,0H4N.L,Siemens Gamesa Renewable Energy S.A.,UK,LSE,GBP,Common Stock,ES0143416115
320,0H59.L,Accor S.A.,UK,LSE,GBP,Common Stock,FR0000120404
321,0H65.L,Juventus Football Club S.p.A.,UK,LSE,GBP,Common Stock,IT0000336518
322,0H68.L,AFLAC Inc.,UK,LSE,USD,Common Stock,
323,0H6E.L,AGNC Investment Corp.,UK,LSE,USD,Common Stock,
324,0H6G.L,AES Corp.,UK,LSE,USD,Common Stock,
325,0H6I.L,Telecom Italia S.p.A.,UK,LSE,GBP,Common Stock,IT0003497168
326,0H6T.L,Swedbank AB Series A,UK,LSE,GBP,Common Stock,SE0000242455
327,0H6X.L,Telia Co. AB,UK,LSE,GBP,Common Stock,SE0000667925
328,0H7D.L,Deutsche Bank AG,UK,LSE,GBP,Common Stock,DE0005140008
329,0H7I.L,Lanxess AG,UK,LSE,GBP,Common Stock,DE0005470405
330,0H7O.L,Bankinter S.A.,UK,LSE,GBP,Common Stock,ES0113679I37
331,0H7R.L,Abeona Therapeutics Inc.,UK,LSE,USD,Common Stock,
332,0H7S.L,Abiomed Inc.,UK,LSE,USD,Common Stock,
333,0H8E.L,Accelerate Diagnostics Inc.,UK,LSE,USD,Common Stock,
334,0H8X.L,Activision Blizzard Inc.,UK,LSE,GBP,Common Stock,
335,0H90.L,Acuity Brands Inc.,UK,LSE,USD,Common Stock,
336,0H9G.L,Advance Auto Parts Inc.,UK,LSE,USD,Common Stock,
337,0H9M.L,Carasent ASA,UK,LSE,NOK,Common Stock,
338,0H9P.L,Intrum AB (publ),UK,LSE,GBP,Common Stock,SE0000936478
339,0H9X.L,Fresenius Medical Care AG & Co. KGaA,UK,LSE,GBP,Common Stock,DE0005785802
340,0HA0.L,RWE AG,UK,LSE,GBP,Common Stock,DE0007037129
341,0HA5.L,Aerojet Rocketdyne Holdings Inc.,UK,LSE,USD,Common Stock,
342,0HA8.L,Corporacion Financiera Alba S.A.,UK,LSE,EUR,Common Stock,ES0117160111
