,Code,Name,Country,Exchange,Currency,Type,Isin,F-Score,PEG ratio,Industry,Sector,Price to Book,Market Cap,50 Day Av,200 Day Av,Profit Margin,Gross Margin
606,2157.SZ,Jiangxi Zhengbang Technology Co.Ltd,,SHE,CNY,Common Stock,CNE1000006H2,,,,,,,,,,
607,2158.SZ,Shanghai Hanbell Precise Machinery Co. Ltd,,SHE,CNY,Common Stock,CNE1000006J8,,,,,,,,,,
608,2159.SZ,Wuhan Sante Cableway Group Co. Ltd,,SHE,CNY,Common Stock,CNE1000006K6,,,,,,,,,,
609,2160.SZ,Jiangsu Alcha Aluminium Group Co. Ltd,,SHE,CNY,Common Stock,CNE1000006F6,,,,,,,,,,
610,2161.SZ,Invengo Information Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000006G4,,,,,,,,,,
611,2162.SZ,Everjoy Health Group Co. Ltd,,SHE,CNY,Common Stock,CNE1000006M2,,,,,,,,,,
612,2163.SZ,Hainan Development Holdings Nanhai Co. Ltd,,SHE,CNY,Common Stock,CNE1000006N0,,,,,,,,,,
613,2164.SZ,Ningbo Donly Co.Ltd,,SHE,CNY,Common Stock,CNE1000006P5,,,,,,,,,,
614,2165.SZ,Hongbaoli Group Corporation Ltd,,SHE,CNY,Common Stock,CNE1000006Q3,,,,,,,,,,
615,2166.SZ,Guilin Layn Natural Ingredients Corp,,SHE,CNY,Common Stock,CNE1000006W1,,,,,,,,,,
616,2167.SZ,Guangdong Orient Zirconic Ind Sci & Tech Co. Ltd,,SHE,CNY,Common Stock,CNE1000006R1,,,,,,,,,,
617,2168.SZ,Shenzhen Hifuture Information Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000006S9,,,,,,,,,,
618,2169.SZ,Guangzhou Zhiguang Electric Co. Ltd,,SHE,CNY,Common Stock,CNE1000006T7,,,,,,,,,,
619,2170.SZ,Shenzhen Batian Ecotypic Engineering Co. Ltd,,SHE,CNY,Common Stock,CNE1000006V3,,,,,,,,,,
620,2171.SZ,Anhui Truchum Advanced Materials and Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000006X9,,,,,,,,,,
621,2172.SZ,Jiangsu Aoyang Health Industry Co.ltd,,SHE,CNY,Common Stock,CNE1000006Y7,,,,,,,,,,
622,2173.SZ,Innovation Medical Management Co. Ltd,,SHE,CNY,Common Stock,CNE1000007J6,,,,,,,,,,
623,2174.SZ,YOOZOO Interactive Co. Ltd,,SHE,CNY,Common Stock,CNE1000007K4,,,,,,,,,,
624,2175.SZ,Oriental Times Media Corporation,,SHE,CNY,Common Stock,CNE1000007D9,,,,,,,,,,
625,2176.SZ,Jiangxi Special Electric Motor Co.Ltd,,SHE,CNY,Common Stock,CNE1000007F4,,,,,,,,,,
626,2177.SZ,Guangzhou Kingteller Technology Co.Ltd,,SHE,CNY,Common Stock,CNE1000007R9,,,,,,,,,,
627,2178.SZ,Shanghai Yanhua Smartech Group Co. Ltd,,SHE,CNY,Common Stock,CNE1000007S7,,,,,,,,,,
628,2179.SZ,AVIC Jonhon Optronic Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000007T5,,,,,,,,,,
629,2180.SZ,Ninestar Corporation,,SHE,CNY,Common Stock,CNE1000007W9,,,,,,,,,,
630,2181.SZ,Guangdong Guangzhou Daily Media Co. Ltd,,SHE,CNY,Common Stock,CNE000001931,,,,,,,,,,
631,2182.SZ,Nanjing Yunhai Special Metals Co. Ltd,,SHE,CNY,Common Stock,CNE1000007X7,,,,,,,,,,
632,2183.SZ,Eternal Asia Supply Chain Management Ltd,,SHE,CNY,Common Stock,CNE1000007Y5,,,,,,,,,,
633,2184.SZ,Shanghai Hi-Tech Control System Co. Ltd,,SHE,CNY,Common Stock,CNE100000809,,,,,,,,,,
634,2185.SZ,Tianshui Huatian Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000825,,,,,,,,,,
635,2186.SZ,China Quanjude(Group) Co.Ltd,,SHE,CNY,Common Stock,CNE100000833,,,,,,,,,,
636,2187.SZ,Guangzhou Grandbuy Co. Ltd,,SHE,CNY,Common Stock,CNE100000841,,,,,,,,,,
637,2188.SZ,Bus Online Co. Ltd,,SHE,CNY,Common Stock,CNE100000858,,,,,,,,,,
638,2189.SZ,Costar Group Co. Ltd,,SHE,CNY,Common Stock,,,,,,,,,,,
639,2190.SZ,Sichuan Chengfei Integration Technology Corp.Ltd,,SHE,CNY,Common Stock,CNE100000890,,,,,,,,,,
640,2191.SZ,Shenzhen Jinjia Group Co.Ltd,,SHE,CNY,Common Stock,CNE1000008B1,,,,,,,,,,
641,2192.SZ,YOUNGY Co.Ltd,,SHE,CNY,Common Stock,CNE1000008C9,,,,,,,,,,
642,2193.SZ,Shandong Ruyi Woolen Garment Group Co. Ltd,,SHE,CNY,Common Stock,CNE1000008G0,,,,,,,,,,
643,2194.SZ,Wuhan Fingu Electronic Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000008H8,,,,,,,,,,
644,2195.SZ,Shanghai 2345 Network Holding Group Co. Ltd,,SHE,CNY,Common Stock,CNE1000008K2,,,,,,,,,,
645,2196.SZ,Zhejiang Founder Motor Co. Ltd,,SHE,CNY,Common Stock,CNE1000008L0,,,,,,,,,,
646,2197.SZ,SZZT Electronics CO.LTD,,SHE,CNY,Common Stock,CNE1000008N6,,,,,,,,,,
647,2198.SZ,Guangdong Jiaying Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE1000008P1,,,,,,,,,,
648,2199.SZ,Zhejiang East Crystal Electronic Co.Ltd,,SHE,CNY,Common Stock,CNE1000008Q9,,,,,,,,,,
649,2200.SZ,Yunnan Yuntou Ecology and Environment Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000008R7,,,,,,,,,,
650,2201.SZ,Jiangsu Jiuding New Material Co. Ltd,,SHE,CNY,Common Stock,CNE1000008T3,,,,,,,,,,
651,2202.SZ,Xinjiang Goldwind Science & Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000008S5,,,,,,,,,,
652,2203.SZ,Zhe Jiang Hai Liang Co. Ltd,,SHE,CNY,Common Stock,CNE1000008X5,,,,,,,,,,
653,2204.SZ,Dalian Huarui Heavy Industry Group Co. LTD,,SHE,CNY,Common Stock,CNE1000008Y3,,,,,,,,,,
654,2205.SZ,XinJiang GuoTong Pipeline CO.Ltd,,SHE,CNY,Common Stock,CNE100000908,,,,,,,,,,
655,2206.SZ,Zhejiang Hailide New Material Co.Ltd,,SHE,CNY,Common Stock,CNE100000916,,,,,,,,,,
656,2207.SZ,Xinjiang Zhundong Petroleum Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000932,,,,,,,,,,
657,2208.SZ,Hefei Urban Construction Development Co. Ltd,,SHE,CNY,Common Stock,CNE100000940,,,,,,,,,,
658,2209.SZ,Guangzhou Tech-Long Packaging Machinery Co.Ltd,,SHE,CNY,Common Stock,CNE100000965,,,,,,,,,,
659,2210.SZ,Shenzhen Feima International Supply Chain Co. Ltd,,SHE,CNY,Common Stock,CNE100000973,,,,,,,,,,
660,2211.SZ,Shanghai Hongda New Material Co. Ltd,,SHE,CNY,Common Stock,CNE100000999,,,,,,,,,,
661,2212.SZ,Topsec Technologies Group Inc,,SHE,CNY,Common Stock,CNE1000009B9,,,,,,,,,,
662,2213.SZ,Shenzhen Dawei Innovation Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000009C7,,,,,,,,,,
663,2214.SZ,Zhe Jiang Dali Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000009G8,,,,,,,,,,
664,2215.SZ,Shenzhen Noposion Agrochemicals Co. Ltd,,SHE,CNY,Common Stock,CNE1000009H6,,,,,,,,,,
665,2216.SZ,Sanquan Food Co. Ltd,,SHE,CNY,Common Stock,CNE1000009J2,,,,,,,,,,
666,2217.SZ,Holitech Technology Co. Ltd,,SHE,CNY,Common Stock,CNE1000009K0,,,,,,,,,,
667,2218.SZ,SHENZHEN TOPRAYSOLAR Co.Ltd,,SHE,CNY,Common Stock,CNE1000009M6,,,,,,,,,,
668,2219.SZ,Hengkang Medical Group Co.Ltd,,SHE,CNY,Common Stock,CNE1000009R5,,,,,,,,,,
669,2221.SZ,Oriental Energy Co. Ltd,,SHE,CNY,Common Stock,CNE1000009S3,,,,,,,,,,
670,2222.SZ,CASTECH Inc,,SHE,CNY,Common Stock,CNE1000009V7,,,,,,,,,,
671,2223.SZ,Jiangsu Yuyue Medical Equipment & Supply Co. Ltd,,SHE,CNY,Common Stock,CNE1000009X3,,,,,,,,,,
672,2224.SZ,Sanlux Co.Ltd,,SHE,CNY,Common Stock,CNE100000B08,,,,,,,,,,
673,2225.SZ,Puyang Refractories Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000B16,,,,,,,,,,
674,2226.SZ,Anhui Jiangnan Chemical Industry Co. Ltd,,SHE,CNY,Common Stock,CNE100000B57,,,,,,,,,,
675,2227.SZ,Shenzhen Auto Electric Power Plant Co.Ltd,,SHE,CNY,Common Stock,CNE100000B32,,,,,,,,,,
676,2228.SZ,Xiamen Hexing Packaging Printing Co. Ltd,,SHE,CNY,Common Stock,CNE100000B40,,,,,,,,,,
677,2229.SZ,Hongbo Co. Ltd,,SHE,CNY,Common Stock,CNE100000B65,,,,,,,,,,
678,2230.SZ,iFLYTEK CO.LTD,,SHE,CNY,Common Stock,CNE100000B81,,,,,,,,,,
679,2231.SZ,Allwin Telecommunication Co. Ltd,,SHE,CNY,Common Stock,CNE100000B99,,,,,,,,,,
680,2232.SZ,Qiming Information Technology Co.Ltd,,SHE,CNY,Common Stock,CNE100000B73,,,,,,,,,,
681,2233.SZ,Guangdong Tapai Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000BC9,,,,,,,,,,
682,2234.SZ,Shandong Minhe Animal Husbandry Co. Ltd,,SHE,CNY,Common Stock,CNE100000BF2,,,,,,,,,,
683,2235.SZ,Xiamen anne co.ltd,,SHE,CNY,Common Stock,CNE100000BD7,,,,,,,,,,
684,2236.SZ,Zhejiang Dahua Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000BJ4,,,,,,,,,,
685,2237.SZ,Shandong Humon Smelting Co. Ltd,,SHE,CNY,Common Stock,CNE100000BH8,,,,,,,,,,
686,2238.SZ,Shenzhen Topway Video Communication Co. Ltd,,SHE,CNY,Common Stock,CNE100000BM8,,,,,,,,,,
687,2239.SZ,Aotecar New Energy Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000BL0,,,,,,,,,,
688,2240.SZ,Shenzhen Chengxin Lithium Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000BN6,,,,,,,,,,
689,2241.SZ,Goertek Inc,,SHE,CNY,Common Stock,CNE100000BP1,,,,,,,,,,
690,2242.SZ,Joyoung Co.Ltd,,SHE,CNY,Common Stock,CNE100000BQ9,,,,,,,,,,
691,2243.SZ,Shenzhen Leaguer Co. Ltd,,SHE,CNY,Common Stock,CNE100000BR7,,,,,,,,,,
692,2244.SZ,Hangzhou Binjiang Real Estate Group Co.Ltd,,SHE,CNY,Common Stock,CNE100000BS5,,,,,,,,,,
693,2245.SZ,Jiangsu Azure Corporation,,SHE,CNY,Common Stock,CNE100000BT3,,,,,,,,,,
694,2246.SZ,North Chemical Industries Co. Ltd,,SHE,CNY,Common Stock,CNE100000BW7,,,,,,,,,,
695,2247.SZ,Zhejiang Juli Culture Development Co.Ltd,,SHE,CNY,Common Stock,CNE100000BX5,,,,,,,,,,
696,2248.SZ,Weihai Huadong Automation Co. Ltd,,SHE,CNY,Common Stock,CNE100000BZ0,,,,,,,,,,
697,2249.SZ,Zhongshan Broad-Ocean Motor Co. Ltd,,SHE,CNY,Common Stock,CNE100000C07,,,,,,,,,,
698,2250.SZ,Lianhe Chemical Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000C15,,,,,,,,,,
699,2251.SZ,Better Life Commercial Chain Share Co.Ltd,,SHE,CNY,Common Stock,CNE100000C23,,,,,,,,,,
700,2252.SZ,Shanghai RAAS Blood Products Co. Ltd,,SHE,CNY,Common Stock,CNE100000C31,,,,,,,,,,
701,2253.SZ,Wisesoft Co. Ltd,,SHE,CNY,Common Stock,CNE100000C49,,,,,,,,,,
702,2254.SZ,Yantai Tayho Advanced Materials Co. Ltd,,SHE,CNY,Common Stock,CNE100000C56,,,,,,,,,,
703,2255.SZ,Suzhou Hailu Heavy Industry Co. Ltd,,SHE,CNY,Common Stock,CNE100000C64,,,,,,,,,,
704,2256.SZ,Shenzhen Sunrise New Energy Co. Ltd,,SHE,CNY,Common Stock,CNE100000C72,,,,,,,,,,
705,2258.SZ,Lier Chemical Co.LTD,,SHE,CNY,Common Stock,CNE100000C98,,,,,,,,,,
706,2259.SZ,Sichuan Shengda Forestry Industry Co. Ltd,,SHE,CNY,Common Stock,CNE100000CC7,,,,,,,,,,
707,2261.SZ,Talkweb Information System Co.Ltd,,SHE,CNY,Common Stock,CNE100000CF0,,,,,,,,,,
708,2262.SZ,Jiangsu Nhwa Pharmaceutical Co. LTD,,SHE,CNY,Common Stock,CNE100000CG8,,,,,,,,,,
709,2263.SZ,Zhejiang Great Southeast Corp.Ltd,,SHE,CNY,Common Stock,CNE100000CH6,,,,,,,,,,
710,2264.SZ,New Hua Du Supercenter Co.Ltd,,SHE,CNY,Common Stock,CNE100000CJ2,,,,,,,,,,
711,2265.SZ,Yunnan Xiyi Industry Co. Ltd,,SHE,CNY,Common Stock,CNE100000CK0,,,,,,,,,,
712,2266.SZ,Zhefu Holding Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000CL8,,,,,,,,,,
713,2267.SZ,Shaanxi Provincial Natural Gas Co.Ltd,,SHE,CNY,Common Stock,CNE100000CN4,,,,,,,,,,
714,2268.SZ,Westone Information Industry Inc,,SHE,CNY,Common Stock,CNE100000CM6,,,,,,,,,,
715,2269.SZ,Shanghai Metersbonwe Fashion and Accessories Co. Ltd,,SHE,CNY,Common Stock,CNE100000CQ7,,,,,,,,,,
716,2270.SZ,Huaming Power Equipment Co.Ltd,,SHE,CNY,Common Stock,CNE100000CR5,,,,,,,,,,
717,2271.SZ,Beijing Oriental Yuhong Waterproof Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000CS3,,,,,,,,,,
718,2272.SZ,Sichuan Crun Co. Ltd,,SHE,CNY,Common Stock,CNE100000CV7,,,,,,,,,,
719,2273.SZ,Zhejiang Crystal-Optech Co. Ltd,,SHE,CNY,Common Stock,CNE100000CT1,,,,,,,,,,
720,2274.SZ,Jiangsu Huachang Chemical Co. Ltd,,SHE,CNY,Common Stock,CNE100000CW5,,,,,,,,,,
721,2275.SZ,Guilin Sanjin Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE100000DY9,,,,,,,,,,
722,2276.SZ,Zhejiang Wanma Co. Ltd,,SHE,CNY,Common Stock,CNE100000DZ6,,,,,,,,,,
723,2277.SZ,Hunan Friendship&Apollo Commercial Co.Ltd,,SHE,CNY,Common Stock,CNE100000F12,,,,,,,,,,
724,2278.SZ,Shanghai SK Petroleum & Chemical Equipment Corporation Ltd,,SHE,CNY,Common Stock,CNE100000F53,,,,,,,,,,
725,2279.SZ,Beijing Join-Cheer Software Co. Ltd,,SHE,CNY,Common Stock,CNE000001QL7,,,,,,,,,,
726,2280.SZ,Hangzhou Lianluo Interactive Information Technology Co.Ltd,,SHE,CNY,Common Stock,CNE100000F95,,,,,,,,,,
727,2281.SZ,Accelink Technologies Co. Ltd,,SHE,CNY,Common Stock,CNE100000F87,,,,,,,,,,
728,2282.SZ,Bosun Co. Ltd,,SHE,CNY,Common Stock,CNE100000F61,,,,,,,,,,
729,2283.SZ,Tianrun Industry Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000F79,,,,,,,,,,
730,2284.SZ,Zhejiang Asia-Pacific Mechanical & Electronic Co.Ltd,,SHE,CNY,Common Stock,CNE100000FJ5,,,,,,,,,,
731,2285.SZ,Shenzhen Worldunion Group Incorporated,,SHE,CNY,Common Stock,CNE100000FK3,,,,,,,,,,
732,2286.SZ,Baolingbao Biology Co.Ltd,,SHE,CNY,Common Stock,CNE100000FL1,,,,,,,,,,
733,2287.SZ,Tibet Cheezheng Tibetan Medicine Co. Ltd,,SHE,CNY,Common Stock,CNE100000FM9,,,,,,,,,,
734,2288.SZ,Guangdong Chaohua Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000FP2,,,,,,,,,,
735,2289.SZ,Shenzhen Success Electronics Co. Ltd,,SHE,CNY,Common Stock,CNE100000FQ0,,,,,,,,,,
736,2290.SZ,Suzhou Hesheng Special Material Co. Ltd,,SHE,CNY,Common Stock,CNE100000FR8,,,,,,,,,,
737,2291.SZ,Saturday Co.Ltd,,SHE,CNY,Common Stock,CNE100000FS6,,,,,,,,,,
738,2292.SZ,Alpha Group,,SHE,CNY,Common Stock,CNE100000FT4,,,,,,,,,,
739,2293.SZ,Luolai Lifestyle Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000FV0,,,,,,,,,,
740,2294.SZ,Shenzhen Salubris Pharmaceuticals Co. Ltd,,SHE,CNY,Common Stock,CNE100000FW8,,,,,,,,,,
741,2295.SZ,Guangdong Jingyi Metal Co. Ltd,,SHE,CNY,Common Stock,CNE100000FY4,,,,,,,,,,
742,2296.SZ,HeNan Splendor Science & Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000FZ1,,,,,,,,,,
743,2297.SZ,Hunan Boyun New Materials Co.Ltd,,SHE,CNY,Common Stock,CNE100000G03,,,,,,,,,,
744,2298.SZ,Anhui Sinonet & Xinlong Science & Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000G11,,,,,,,,,,
745,2299.SZ,Fujian Sunner Development Co. Ltd,,SHE,CNY,Common Stock,CNE100000G78,,,,,,,,,,
746,2300.SZ,Fujian Nanping Sun Cable Co. Ltd,,SHE,CNY,Common Stock,CNE100000G86,,,,,,,,,,
747,2301.SZ,Shenzhen Comix Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000G94,,,,,,,,,,
748,2302.SZ,China West Construction Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000H77,,,,,,,,,,
749,2303.SZ,MYS Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000H85,,,,,,,,,,
750,2304.SZ,Jiangsu Yanghe Brewery Joint-Stock Co. Ltd,,SHE,CNY,Common Stock,CNE100000HB8,,,,,,,,,,
751,2305.SZ,Langold Real Estate Co. Ltd,,SHE,CNY,Common Stock,CNE100000HC6,,,,,,,,,,
752,2306.SZ,Cloud Live Technology Group Co.Ltd,,SHE,CNY,Common Stock,CNE100000HG7,,,,,,,,,,
753,2307.SZ,Xinjiang Beixin Road & Bridge Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000HH5,,,,,,,,,,
754,2308.SZ,Vtron Group Co.Ltd,,SHE,CNY,Common Stock,CNE100000HL7,,,,,,,,,,
755,2309.SZ,Jiangsu Zhongli Group Co.Ltd,,SHE,CNY,Common Stock,CNE100000HM5,,,,,,,,,,
756,2310.SZ,Beijing Orient Landscape & Environment Co. Ltd,,SHE,CNY,Common Stock,CNE100000HN3,,,,,,,,,,
757,2311.SZ,Guangdong Haid Group Co. Limited,,SHE,CNY,Common Stock,CNE100000HP8,,,,,,,,,,
758,2312.SZ,Sichuan Development Lomon Co. Ltd,,SHE,CNY,Common Stock,CNE100000HQ6,,,,,,,,,,
759,2313.SZ,Sunsea AIoT Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000HR4,,,,,,,,,,
760,2314.SZ,Shenzhen New Nanshan Holding (Group) Co. Ltd,,SHE,CNY,Common Stock,CNE100000HS2,,,,,,,,,,
761,2315.SZ,Focus Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000HT0,,,,,,,,,,
762,2316.SZ,Shenzhen Asia Link Technology Development Co.Ltd,,SHE,CNY,Common Stock,CNE100000HV6,,,,,,,,,,
763,2317.SZ,Guangdong Zhongsheng Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE100000HW4,,,,,,,,,,
764,2318.SZ,Zhejiang Jiuli Hi-Tech Metals Co. Ltd,,SHE,CNY,Common Stock,CNE100000HX2,,,,,,,,,,
765,2319.SZ,Letong Chemical Co.LTD,,SHE,CNY,Common Stock,CNE100000HY0,,,,,,,,,,
766,2320.SZ,Hainan Strait Shipping Co.Ltd,,SHE,CNY,Common Stock,CNE100000HZ7,,,,,,,,,,
767,2321.SZ,Henan Huaying Agricultural Development Co. Ltd,,SHE,CNY,Common Stock,CNE100000J00,,,,,,,,,,
768,2322.SZ,Ningbo Ligong Environment And Energy Technology Co.Ltd,,SHE,CNY,Common Stock,CNE100000J18,,,,,,,,,,
769,2323.SZ,JiangSu Yabaite Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000J26,,,,,,,,,,
770,2324.SZ,Shanghai Pret Composites Co. Ltd,,SHE,CNY,Common Stock,CNE100000J34,,,,,,,,,,
771,2325.SZ,Shenzhen Hongtao Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000J42,,,,,,,,,,
772,2326.SZ,Zhejiang Yongtai Technology Co.Ltd,,SHE,CNY,Common Stock,CNE100000J59,,,,,,,,,,
773,2327.SZ,Shenzhen Fuanna Bedding and Furnishing Co. Ltd,,SHE,CNY,Common Stock,CNE100000JP4,,,,,,,,,,
774,2328.SZ,Shanghai Xinpeng Industry Co.Ltd,,SHE,CNY,Common Stock,CNE100000JQ2,,,,,,,,,,
775,2329.SZ,Royal Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000JS8,,,,,,,,,,
776,2330.SZ,Shandong Delisi Food Co. Ltd,,SHE,CNY,Common Stock,CNE100000JT6,,,,,,,,,,
777,2331.SZ,Anhui Wantong Technology Co.Ltd,,SHE,CNY,Common Stock,CNE100000JV2,,,,,,,,,,
778,2332.SZ,Zhejiang Xianju Pharmaceutical Co.Ltd,,SHE,CNY,Common Stock,CNE100000K64,,,,,,,,,,
779,2333.SZ,ZYF Lopsking Aluminum Co. Ltd,,SHE,CNY,Common Stock,CNE100000K56,,,,,,,,,,
780,2334.SZ,Shenzhen INVT Electric Co.Ltd,,SHE,CNY,Common Stock,CNE100000K49,,,,,,,,,,
781,2335.SZ,Kehua Data Co. Ltd,,SHE,CNY,Common Stock,CNE100000K31,,,,,,,,,,
782,2336.SZ,Renrenle Commercial Group Co.Ltd,,SHE,CNY,Common Stock,CNE100000K23,,,,,,,,,,
783,2337.SZ,Tianjin Saixiang Technology Co.Ltd,,SHE,CNY,Common Stock,CNE100000K98,,,,,,,,,,
784,2338.SZ,Changchun UP Optotech Co.Ltd,,SHE,CNY,Common Stock,CNE100000K80,,,,,,,,,,
785,2339.SZ,Integrated Electronic Systems Lab Co.Ltd,,SHE,CNY,Common Stock,CNE100000KV0,,,,,,,,,,
786,2340.SZ,GEM Co. Ltd,,SHE,CNY,Common Stock,CNE100000KT4,,,,,,,,,,
787,2341.SZ,Shenzhen Selen Science & Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000KS6,,,,,,,,,,
788,2342.SZ,Juli Sling Co. Ltd,,SHE,CNY,Common Stock,CNE100000KR8,,,,,,,,,,
789,2343.SZ,Ciwen Media Co.Ltd,,SHE,CNY,Common Stock,CNE100000KQ0,,,,,,,,,,
790,2344.SZ,Haining China Leather Market Co.Ltd,,SHE,CNY,Common Stock,CNE100000KP2,,,,,,,,,,
791,2345.SZ,GUANGDONG CHJ INDUSTRY CO.LTD,,SHE,CNY,Common Stock,CNE100000KZ1,,,,,,,,,,
792,2346.SZ,Shanghai Zhezhong Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000KY4,,,,,,,,,,
793,2347.SZ,Taier Heavy Industry Co. Ltd,,SHE,CNY,Common Stock,CNE100000KX6,,,,,,,,,,
794,2348.SZ,Goldlok Holdings(Guangdong) Co.Ltd,,SHE,CNY,Common Stock,CNE100000L22,,,,,,,,,,
795,2349.SZ,Nantong Jinghua Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE100000L14,,,,,,,,,,
796,2350.SZ,Beijing Creative Distribution Automation Co. Ltd,,SHE,CNY,Common Stock,CNE100000L06,,,,,,,,,,
797,2351.SZ,Edifier Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000L71,,,,,,,,,,
798,2352.SZ,S.F. Holding Co. Ltd,,SHE,CNY,Common Stock,CNE100000L63,,,,,,,,,,
799,2353.SZ,Yantai Jereh Oilfield Services Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000L55,,,,,,,,,,
800,2354.SZ,Dalian Zeus Entertainment Co. Ltd,,SHE,CNY,Common Stock,CNE100000LB0,,,,,,,,,,
801,2355.SZ,Xingmin Intelligent Transportation Systems (Group) Co. Ltd,,SHE,CNY,Common Stock,CNE100000LC8,,,,,,,,,,
802,2356.SZ,Shenzhen Hemei Group Co.LTD,,SHE,CNY,Common Stock,CNE100000LD6,,,,,,,,,,
803,2357.SZ,Sichuan Fulin Transportation Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000LF1,,,,,,,,,,
804,2358.SZ,Henan Senyuan Electric Co. Ltd,,SHE,CNY,Common Stock,CNE100000LG9,,,,,,,,,,
805,2360.SZ,Shanxi Tond Chemical Co. Ltd,,SHE,CNY,Common Stock,CNE100000LY2,,,,,,,,,,
806,2361.SZ,Anhui Shenjian New Materials Co.Ltd,,SHE,CNY,Common Stock,CNE100000LX4,,,,,,,,,,
807,2362.SZ,Hanwang Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000LW6,,,,,,,,,,
808,2363.SZ,Shandong Longji Machinery Co. Ltd,,SHE,CNY,Common Stock,CNE100000M13,,,,,,,,,,
809,2364.SZ,Hangzhou Zhongheng Electric Co. Ltd,,SHE,CNY,Common Stock,CNE100000M05,,,,,,,,,,
810,2365.SZ,Qianjiang Yongan Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE100000LZ9,,,,,,,,,,
811,2366.SZ,Taihai Manoir Nuclear Equipment Co. Ltd,,SHE,CNY,Common Stock,CNE100000M21,,,,,,,,,,
812,2367.SZ,Canny Elevator Co. Ltd,,SHE,CNY,Common Stock,CNE100000M39,,,,,,,,,,
813,2368.SZ,Taiji Computer Corporation Limited,,SHE,CNY,Common Stock,CNE100000M47,,,,,,,,,,
814,2369.SZ,Shenzhen Zowee Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000MN3,,,,,,,,,,
815,2370.SZ,Zhejiang Yatai Pharmaceutical Co. Ltd,,SHE,CNY,Common Stock,CNE100000MM5,,,,,,,,,,
816,2371.SZ,NAURA Technology Group Co. Ltd,,SHE,CNY,Common Stock,CNE100000ML7,,,,,,,,,,
817,2372.SZ,Zhejiang Weixing New Building Materials Co. Ltd,,SHE,CNY,Common Stock,CNE100000MK9,,,,,,,,,,
818,2373.SZ,China Transinfo Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000MJ1,,,,,,,,,,
819,2374.SZ,Shandong Chiway Industry Development Co.Ltd,,SHE,CNY,Common Stock,CNE100000MH5,,,,,,,,,,
820,2375.SZ,Zhejiang Yasha Decoration Co.Ltd,,SHE,CNY,Common Stock,CNE100000M70,,,,,,,,,,
821,2376.SZ,Shandong New Beiyang Information Technology Co. Ltd,,SHE,CNY,Common Stock,CNE100000M62,,,,,,,,,,
822,2377.SZ,Hubei Guochuang Hi-tech Material Co.Ltd,,SHE,CNY,Common Stock,CNE100000M54,,,,,,,,,,
823,2378.SZ,Chongyi Zhangyuan Tungsten Co. Ltd,,SHE,CNY,Common Stock,CNE100000MX2,,,,,,,,,,
824,2379.SZ,Shandong Hongchuang Aluminum Industry Holding Company Limited,,SHE,CNY,Common Stock,CNE100000MW4,,,,,,,,,,
